Operation|Order.CONN|Order.Validation|PriceService.Out|Order.Execution_|Order.ExecutionReport_CONN
1201271045539|09:39:33,332|09:39:33,845|09:39:34,028|09:39:34,866|
1201271045630|09:39:33,764|09:39:33,995|09:39:34,104|09:39:34,878|
1201271045691|09:39:34,128|09:39:34,983|09:39:35,098|09:39:35,807|
1201271045772|09:39:34,435|09:39:35,082|09:39:35,142|09:39:36,134|09:39:44,313
1201271045853|09:39:34,983|09:39:35,157|09:39:35,183|09:39:36,144|09:39:39,426
1201271045884|09:39:35,216|09:39:35,521|09:39:35,592|09:39:36,293|09:39:39,656
1201271045925|09:39:35,361|09:39:35,896|09:39:36,324|09:39:36,845|
1201271045946|09:39:35,485|09:39:36,154|09:39:36,174|09:39:36,588|09:39:46,211
1201271045967|09:39:35,813|09:39:36,798|09:39:37,579|09:39:38,568|09:39:41,649
1201271045988|09:39:36,369|09:39:37,348|09:39:38,107|09:39:39,027|
1201271046009|09:39:37,364|09:39:38,756|09:39:39,302|09:39:40,118|09:39:47,681
1201271046030|09:39:38,757|09:39:40,094|09:39:40,120|09:39:40,736|
1201271046051|09:39:40,276|09:39:40,428|09:39:40,482|09:39:40,918|09:39:48,327
1201271046112|09:39:40,551|09:39:40,716|09:39:40,871|09:39:41,251|
1201271046133|09:39:40,673|09:39:41,236|09:39:41,368|09:39:43,207|
1201271046154|09:39:40,940|09:39:41,712|09:39:41,838|09:39:43,626|
1201271046175|09:39:41,634|09:39:41,849|09:39:41,908|09:39:43,707|09:39:50,238
1201271046226|09:39:41,868|09:39:42,188|09:39:42,232|09:39:43,718|09:39:49,780
1201271046257|09:39:42,075|09:39:42,296|09:39:42,456|09:39:43,827|09:39:49,729
1201271046318|09:39:42,172|09:39:42,243|09:39:42,370|09:39:43,723|
1201271046349|09:39:42,277|09:39:42,485|09:39:42,590|09:39:43,942|09:39:50,734
1201271046380|09:39:42,337|09:39:42,560|09:39:42,598|09:39:43,890|09:39:52,745
1201271046411|09:39:42,520|09:39:42,910|09:39:43,426|09:39:44,201|09:39:49,995
1201271046432|09:39:42,642|09:39:43,217|09:39:43,723|09:39:44,163|
1201271046453|09:39:42,715|09:39:43,011|09:39:43,423|09:39:44,100|09:39:50,860
1201271046484|09:39:43,453|09:39:46,452|09:39:47,105|09:39:47,779|09:39:52,314
1201271046505|09:39:46,429|09:39:47,486|09:39:47,777|09:39:48,167|
1201271046526|09:39:47,859|09:39:48,601|09:39:48,794|09:39:49,258|
1201271046557|09:39:48,855|09:39:49,282|09:39:49,322|09:39:49,757|
1201271046588|09:39:49,136|09:39:49,652|09:39:49,776|09:39:50,032|
1201271046609|09:39:49,524|09:39:50,054|09:39:50,264|09:39:50,540|
1201271046630|09:39:49,930|09:39:50,598|09:39:50,972|09:39:51,678|
1201271046651|09:39:50,118|09:39:50,584|09:39:50,634|09:39:50,894|
1201271046682|09:39:50,384|09:39:50,894|09:39:51,090|09:39:52,469|
1201271046703|09:39:50,824|09:39:51,156|09:39:51,255|09:39:52,514|
1201271046744|09:39:51,129|09:39:51,407|09:39:51,467|09:39:52,491|
1201271046765|09:39:51,368|09:39:51,556|09:39:51,647|09:39:52,913|09:40:01,590
1201271046806|09:39:51,581|09:39:52,469|09:39:53,045|09:39:53,668|09:39:57,780
1201271046847|09:39:52,233|09:39:52,790|09:39:53,123|09:39:53,992|09:39:59,578
1201271046888|09:39:53,152|09:39:53,310|09:39:53,526|09:39:54,444|
1201271046909|09:39:53,274|09:39:53,703|09:39:53,737|09:39:54,956|09:40:03,759
1201271046920|09:39:53,452|09:39:53,666|09:39:53,709|09:39:54,966|09:39:59,804
1201271046941|09:39:53,770|09:39:55,469|09:39:56,132|09:39:57,273|
1201271046962|09:39:54,128|09:39:55,444|09:39:55,528|09:39:57,268|09:40:02,964
1201271046983|09:39:55,394|09:39:56,236|09:39:56,456|09:39:57,308|
1201271047004|09:39:56,487|09:39:56,783|09:39:56,840|09:39:57,440|09:40:02,695
1201271047025|09:39:56,728|09:39:58,031|09:39:58,155|09:39:59,175|
1201271047066|09:39:57,417|09:39:58,047|09:39:58,097|09:39:58,805|
1201271047097|09:39:58,172|09:39:58,320|09:39:58,391|09:39:59,634|
1201271047108|09:39:58,355|09:39:58,556|09:39:58,716|09:39:59,645|09:40:04,757
1201271047119|09:39:58,459|09:39:58,810|09:39:58,877|09:39:59,728|09:40:04,947
1201271047130|09:39:58,771|09:39:59,425|09:40:00,132|09:40:00,621|09:40:03,124
1201271047151|09:40:00,533|09:40:00,763|09:40:00,949|09:40:01,385|
1201271047172|09:40:00,764|09:40:01,445|09:40:01,770|09:40:02,884|09:40:07,757
1201271047193|09:40:01,431|09:40:02,987|09:40:03,178|09:40:03,764|09:40:11,165
1201271047224|09:40:02,521|09:40:03,047|09:40:03,126|09:40:03,618|09:40:09,102
1201271047255|09:40:03,379|09:40:03,618|09:40:03,821|09:40:04,712|
1201271047286|09:40:03,907|09:40:04,206|09:40:04,277|09:40:04,851|09:40:10,561
1201271047307|09:40:04,207|09:40:04,399|09:40:04,469|09:40:04,889|09:40:09,553
1201271047348|09:40:04,311|09:40:04,578|09:40:04,937|09:40:05,185|
1201271047389|09:40:04,439|09:40:05,467|09:40:05,693|09:40:06,179|
1201271047410|09:40:04,691|09:40:05,276|09:40:05,583|09:40:06,114|
1201271047441|09:40:05,150|09:40:05,625|09:40:05,765|09:40:06,354|
1201271047462|09:40:05,613|09:40:05,904|09:40:06,150|09:40:06,540|
1201271047483|09:40:05,821|09:40:06,125|09:40:06,403|09:40:06,745|
1201271047514|09:40:05,930|09:40:06,332|09:40:06,625|09:40:06,868|
1201271047565|09:40:06,700|09:40:08,401|09:40:08,636|09:40:09,346|
1201271047616|09:40:07,935|09:40:09,141|09:40:09,352|09:40:10,195|
